epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3246.47,1.44834,1.48023,1.24868,0.71201,0.34672,0.3948,0.29044,1.60374,1.58055,1.33988,0.000494885,0.000494885,0.000494885
43,3298.21,1.42894,1.45635,1.23876,0.74578,0.34559,0.40177,0.29394,1.61637,1.54649,1.3358,0.000486639,0.000486639,0.000486639
44,3350.12,1.45486,1.48613,1.24388,0.7436,0.34781,0.40179,0.29926,1.58963,1.53773,1.32292,0.000478392,0.000478392,0.000478392
45,3403.98,1.46615,1.48569,1.25191,0.74715,0.3517,0.41133,0.3088,1.55831,1.5204,1.31053,0.000470145,0.000470145,0.000470145
46,3457.25,1.42537,1.44746,1.23915,0.77203,0.34943,0.41289,0.30686,1.57091,1.51002,1.30917,0.000461898,0.000461898,0.000461898
47,3510.56,1.42811,1.44998,1.23634,0.76561,0.35241,0.41526,0.30542,1.56667,1.49596,1.31316,0.000453652,0.000453652,0.000453652
48,3564.69,1.41714,1.43735,1.22952,0.75169,0.35996,0.41753,0.3102,1.55718,1.47974,1.30066,0.000445405,0.000445405,0.000445405
49,3617.55,1.4091,1.41734,1.22522,0.74778,0.36005,0.4153,0.30999,1.54998,1.48567,1.30838,0.000437158,0.000437158,0.000437158
50,3670.02,1.43069,1.43814,1.23462,0.72845,0.35831,0.4123,0.30706,1.56061,1.51214,1.31398,0.000428912,0.000428912,0.000428912
51,3722.18,1.37801,1.38693,1.21315,0.77778,0.36305,0.42434,0.32008,1.51357,1.45042,1.29308,0.000420665,0.000420665,0.000420665
52,3775.24,1.40536,1.40547,1.22556,0.73886,0.37148,0.42526,0.32013,1.51888,1.44463,1.28926,0.000412418,0.000412418,0.000412418
53,3828.1,1.42494,1.43549,1.23213,0.74239,0.36157,0.41673,0.31357,1.53793,1.47332,1.28242,0.000404172,0.000404172,0.000404172
54,3881.35,1.39583,1.39926,1.21573,0.76653,0.36551,0.42609,0.31487,1.52705,1.44283,1.28092,0.000395925,0.000395925,0.000395925
