epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3727,1.72725,3.51562,1.47871,0.37448,0.11097,0.11712,0.08177,1.75745,2.6911,1.49085,0.000276264,0.000276264,0.000276264
2,86.2092,1.6805,2.63708,1.41069,0.41065,0.15432,0.16115,0.11008,1.81526,2.45846,1.5417,0.000542963,0.000542963,0.000542963
3,126.299,1.67375,2.46166,1.41919,0.27786,0.21034,0.1694,0.10938,1.80709,2.31465,1.50946,0.000798666,0.000798666,0.000798666
4,165.575,1.68044,2.32702,1.4045,0.39813,0.22189,0.21108,0.14487,1.77146,2.19037,1.47318,0.00078352,0.00078352,0.00078352
5,205.139,1.61151,2.16758,1.3775,0.46551,0.23383,0.23817,0.15969,1.7597,2.1359,1.49322,0.000767026,0.000767026,0.000767026
6,244.714,1.60031,2.13864,1.36833,0.54959,0.22815,0.24661,0.17163,1.69953,2.08721,1.47405,0.000750533,0.000750533,0.000750533
7,284.895,1.58626,2.05435,1.36023,0.56525,0.23967,0.25794,0.17563,1.68646,2.01185,1.45326,0.00073404,0.00073404,0.00073404
8,324.801,1.56875,1.99747,1.35067,0.52333,0.25184,0.26175,0.17722,1.64767,1.98135,1.42568,0.000717546,0.000717546,0.000717546
9,364.925,1.519,1.91132,1.32604,0.51772,0.26297,0.27568,0.1901,1.65833,1.94265,1.40365,0.000701053,0.000701053,0.000701053
10,404.84,1.51714,1.88718,1.32863,0.60258,0.25103,0.27749,0.19474,1.66516,1.95582,1.42466,0.000684559,0.000684559,0.000684559
11,441.564,1.49851,1.82904,1.30111,0.51766,0.2711,0.276,0.19568,1.6472,1.9103,1.40726,0.000668066,0.000668066,0.000668066
12,480.806,1.48261,1.84512,1.30263,0.51237,0.28233,0.28871,0.20632,1.60663,1.88684,1.38362,0.000651573,0.000651573,0.000651573
13,520.108,1.47162,1.81298,1.31853,0.57082,0.25523,0.28514,0.20116,1.61892,1.88224,1.39577,0.000635079,0.000635079,0.000635079
14,558.171,1.46995,1.77595,1.29462,0.60714,0.26829,0.29852,0.21002,1.59689,1.88029,1.38121,0.000618586,0.000618586,0.000618586
15,597.722,1.46865,1.75585,1.29753,0.55065,0.26541,0.29375,0.2114,1.58724,1.88674,1.38915,0.000602092,0.000602092,0.000602092
16,636.823,1.44519,1.71096,1.2709,0.62897,0.26498,0.30772,0.2178,1.59501,1.81513,1.375,0.000585599,0.000585599,0.000585599
17,675.811,1.44432,1.70414,1.28946,0.61541,0.28401,0.31647,0.22479,1.57099,1.8002,1.38057,0.000569106,0.000569106,0.000569106
18,714.753,1.4371,1.68898,1.27308,0.63302,0.27789,0.31064,0.2231,1.55087,1.80688,1.35089,0.000552612,0.000552612,0.000552612
19,753.156,1.40829,1.63863,1.26448,0.58687,0.28589,0.32027,0.22673,1.56507,1.79749,1.3572,0.000536119,0.000536119,0.000536119
20,791.667,1.40741,1.64048,1.26158,0.60159,0.27207,0.31774,0.22943,1.56007,1.77727,1.38206,0.000519625,0.000519625,0.000519625
21,830.686,1.41057,1.63295,1.26467,0.66832,0.28001,0.32623,0.23643,1.55213,1.7735,1.36097,0.000503132,0.000503132,0.000503132
22,870.19,1.39644,1.60195,1.25923,0.61498,0.29501,0.33518,0.24016,1.54672,1.73328,1.36269,0.000486639,0.000486639,0.000486639
23,909.531,1.39634,1.58179,1.24989,0.66845,0.28519,0.33304,0.23382,1.56502,1.75617,1.35376,0.000470145,0.000470145,0.000470145
24,948.748,1.3769,1.55204,1.23542,0.62934,0.30819,0.33787,0.24108,1.54301,1.73929,1.35844,0.000453652,0.000453652,0.000453652
25,986.5,1.35188,1.53702,1.22257,0.61882,0.2967,0.33498,0.23608,1.55175,1.72845,1.35373,0.000437158,0.000437158,0.000437158
26,1016.86,1.39336,1.55961,1.24178,0.60418,0.29943,0.33571,0.2355,1.56893,1.71296,1.36175,0.000420665,0.000420665,0.000420665
27,1046.12,1.37074,1.53311,1.2386,0.58333,0.31477,0.3415,0.24526,1.53511,1.71589,1.33521,0.000404172,0.000404172,0.000404172
28,1085.12,1.37396,1.52352,1.23103,0.62084,0.29809,0.34271,0.24636,1.51792,1.69575,1.34424,0.000387678,0.000387678,0.000387678
29,1122.73,1.3564,1.51271,1.22996,0.60503,0.30555,0.33866,0.2378,1.51992,1.70842,1.34031,0.000371185,0.000371185,0.000371185
30,1161.11,1.32538,1.46027,1.20635,0.65655,0.30263,0.34432,0.24731,1.50862,1.66446,1.32802,0.000354691,0.000354691,0.000354691
31,1200.23,1.30991,1.43934,1.20411,0.64595,0.31286,0.34757,0.24769,1.50577,1.67647,1.33362,0.000338198,0.000338198,0.000338198
32,1239.21,1.30435,1.43141,1.20165,0.63791,0.3057,0.34983,0.25058,1.52306,1.6762,1.33904,0.000321705,0.000321705,0.000321705
33,1278.17,1.31507,1.41372,1.20195,0.62869,0.31449,0.35286,0.2551,1.49644,1.67219,1.32373,0.000305211,0.000305211,0.000305211
34,1317.29,1.29574,1.40055,1.1964,0.63533,0.32106,0.35956,0.26304,1.49153,1.6495,1.32409,0.000288718,0.000288718,0.000288718
35,1357.05,1.3108,1.41428,1.19878,0.60671,0.32541,0.35704,0.25416,1.50652,1.66809,1.31929,0.000272224,0.000272224,0.000272224
36,1396.47,1.29184,1.38952,1.18767,0.66794,0.31342,0.36048,0.25946,1.49759,1.62951,1.32088,0.000255731,0.000255731,0.000255731
37,1435.08,1.28073,1.37671,1.18745,0.69562,0.31301,0.3645,0.2627,1.4798,1.6271,1.31798,0.000239238,0.000239238,0.000239238
38,1472.34,1.24504,1.346,1.17524,0.61269,0.31764,0.36108,0.26192,1.47686,1.62867,1.32363,0.000222744,0.000222744,0.000222744
39,1502.29,1.247,1.31481,1.16051,0.6875,0.31776,0.36607,0.26333,1.48717,1.63273,1.32488,0.000206251,0.000206251,0.000206251
40,1531.75,1.2583,1.33036,1.17404,0.62292,0.33322,0.36782,0.26827,1.46809,1.62229,1.31155,0.000189757,0.000189757,0.000189757
41,1592.19,1.31638,1.37953,1.22148,0.67876,0.31148,0.36219,0.2607,1.47676,1.60966,1.31593,0.000173264,0.000173264,0.000173264
42,1627.55,1.29667,1.32785,1.20231,0.60362,0.33527,0.36665,0.26809,1.4549,1.59765,1.30501,0.000156771,0.000156771,0.000156771
43,1662.61,1.28205,1.32012,1.19792,0.64554,0.31599,0.36501,0.2638,1.47445,1.60208,1.31101,0.000140277,0.000140277,0.000140277
44,1697.94,1.28551,1.31378,1.20563,0.60557,0.34315,0.37098,0.2696,1.44954,1.58606,1.30372,0.000123784,0.000123784,0.000123784
45,1728.03,1.2727,1.28126,1.19295,0.59583,0.35144,0.37039,0.26812,1.46089,1.60224,1.30371,0.00010729,0.00010729,0.00010729
46,1754.93,1.24974,1.265,1.18076,0.61954,0.33689,0.37324,0.27168,1.45433,1.59564,1.30344,9.0797e-05,9.0797e-05,9.0797e-05
47,1783.42,1.25791,1.26201,1.1882,0.60576,0.34374,0.37679,0.27293,1.4576,1.58481,1.30057,7.43036e-05,7.43036e-05,7.43036e-05
48,1811.05,1.23384,1.23624,1.17423,0.59391,0.33833,0.37333,0.27037,1.44953,1.5816,1.29932,5.78102e-05,5.78102e-05,5.78102e-05
49,1837.71,1.22824,1.21976,1.16629,0.61773,0.34339,0.37572,0.27451,1.44251,1.56715,1.29714,4.13168e-05,4.13168e-05,4.13168e-05
50,1864.7,1.22208,1.20916,1.16662,0.61714,0.33971,0.37686,0.27295,1.44714,1.56724,1.29701,2.48234e-05,2.48234e-05,2.48234e-05
